Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5
16/09/2023,Team A,Team G,0,0,D,1.72,9.5,2.33,2.26,1.64
16/09/2023,Team Q,Team I,1,0,H,1.74,9.5,2.28,1.84,1.97
16/09/2023,Team T,Team G,1,1,D,1.65,9.5,2.48,2.23,1.65
16/09/2023,Team R,Team C,0,3,A,1.99,9.5,1.93,1.56,2.42
16/09/2023,Team Q,Team D,0,2,A,1.6,9.5,2.63,2.55,1.51
16/09/2023,Team E,Team J,1,0,H,1.66,9.5,2.47,2.54,1.52
23/09/2023,Team A,Team T,0,1,A,1.73,9.5,2.27,1.77,2.05
23/09/2023,Team A,Team E,1,2,A,1.79,9.5,2.17,1.7,2.15
23/09/2023,Team L,Team B,2,1,H,1.63,9.5,2.48,1.85,1.96
23/09/2023,Team D,Team Q,1,2,A,2.01,9.5,1.92,1.64,2.26
23/09/2023,Team Q,Team N,3,1,H,1.6,9.5,2.52,1.5,2.6
23/09/2023,Team F,Team K,1,1,D,1.92,9.5,2.0,1.47,2.67
23/09/2023,Team F,Team Q,0,0,D,1.71,9.5,2.32,1.81,2.0
23/09/2023,Team L,Team T,3,1,H,1.98,9.5,1.96,1.83,1.97
23/09/2023,Team D,Team R,0,0,D,1.26,9.5,4.49,1.61,2.31
23/09/2023,Team S,Team I,3,1,H,1.7,9.5,2.35,2.07,1.75
30/09/2023,Team P,Team M,1,2,A,2.53,9.5,1.65,3.28,1.34
30/09/2023,Team L,Team M,0,0,D,1.47,9.5,3.09,2.57,1.51
30/09/2023,Team E,Team B,2,1,H,1.24,9.5,4.94,2.42,1.57
30/09/2023,Team E,Team T,1,1,D,1.53,9.5,2.7,1.36,3.17
30/09/2023,Team F,Team T,1,1,D,2.02,9.5,1.93,2.03,1.79
30/09/2023,Team M,Team B,3,2,H,1.83,9.5,2.12,1.68,2.19
30/09/2023,Team D,Team H,2,2,D,2.54,9.5,1.61,1.96,1.85
30/09/2023,Team Q,Team M,1,1,D,1.98,9.5,1.93,1.44,2.78
30/09/2023,Team M,Team L,1,2,A,1.5,9.5,2.85,1.68,2.19
30/09/2023,Team E,Team H,2,2,D,1.71,9.5,2.32,1.8,2.01
07/10/2023,Team D,Team K,3,0,H,1.45,9.5,3.09,2.18,1.68
07/10/2023,Team A,Team R,0,0,D,1.59,9.5,2.59,1.8,2.01
07/10/2023,Team M,Team S,3,1,H,1.68,9.5,2.39,2.06,1.76
07/10/2023,Team E,Team S,0,1,A,1.68,9.5,2.39,1.88,1.92
07/10/2023,Team D,Team T,0,1,A,1.8,9.5,2.15,1.46,2.74
07/10/2023,Team P,Team O,2,1,H,1.63,9.5,2.49,1.87,1.93
07/10/2023,Team L,Team R,0,1,A,1.33,9.5,3.76,1.56,2.42
07/10/2023,Team G,Team A,0,0,D,1.76,9.5,2.23,1.87,1.94
07/10/2023,Team K,Team O,1,1,D,1.75,9.5,2.26,1.83,1.97
07/10/2023,Team S,Team M,0,1,A,2.94,9.5,1.5,2.46,1.55
14/10/2023,Team F,Team P,0,1,A,1.83,9.5,2.15,2.06,1.76
14/10/2023,Team O,Team R,0,0,D,1.39,9.5,3.46,2.17,1.69
14/10/2023,Team T,Team K,4,0,H,1.35,9.5,3.72,2.28,1.63
14/10/2023,Team S,Team K,1,1,D,2.16,9.5,1.82,2.15,1.7
14/10/2023,Team T,Team I,1,2,A,1.75,9.5,2.2,1.34,3.25
14/10/2023,Team A,Team I,1,3,A,1.67,9.5,2.4,1.85,1.96
14/10/2023,Team M,Team D,2,0,H,1.66,9.5,2.43,1.88,1.92
14/10/2023,Team J,Team E,1,1,D,1.76,9.5,2.24,2.0,1.81
14/10/2023,Team R,Team N,1,2,A,1.51,9.5,2.85,2.12,1.72
14/10/2023,Team H,Team G,2,1,H,1.3,9.5,4.06,2.01,1.81
21/10/2023,Team H,Team E,3,0,H,2.05,9.5,1.89,1.78,2.04
21/10/2023,Team B,Team G,1,1,D,2.2,9.5,1.78,1.81,1.99
21/10/2023,Team P,Team J,0,0,D,2.13,9.5,1.85,2.17,1.69
21/10/2023,Team A,Team S,3,0,H,1.85,9.5,2.1,1.72,2.12
21/10/2023,Team H,Team N,0,1,A,1.63,9.5,2.46,1.66,2.23
21/10/2023,Team I,Team G,0,4,A,1.84,9.5,2.11,1.74,2.09
21/10/2023,Team T,Team B,0,1,A,2.43,9.5,1.66,2.07,1.76
21/10/2023,Team N,Team C,2,3,A,2.05,9.5,1.88,1.52,2.53
21/10/2023,Team D,Team E,1,0,H,2.36,9.5,1.7,2.1,1.74
21/10/2023,Team N,Team A,1,0,H,1.68,9.5,2.35,1.59,2.35
28/10/2023,Team T,Team O,2,4,A,1.71,9.5,2.36,2.28,1.63
28/10/2023,Team I,Team M,1,1,D,1.82,9.5,2.12,1.54,2.48
28/10/2023,Team L,Team P,2,1,H,1.42,9.5,3.29,2.34,1.6
28/10/2023,Team P,Team E,1,1,D,1.47,9.5,2.97,1.68,2.19
28/10/2023,Team R,Team T,2,0,H,1.78,9.5,2.19,1.72,2.13
28/10/2023,Team R,Team L,3,1,H,1.56,9.5,2.65,1.69,2.16
28/10/2023,Team I,Team Q,2,2,D,1.76,9.5,2.23,1.82,1.98
28/10/2023,Team Q,Team G,1,0,H,1.61,9.5,2.58,2.25,1.64
28/10/2023,Team S,Team J,3,1,H,1.65,9.5,2.42,1.6,2.33
28/10/2023,Team R,Team J,4,1,H,1.9,9.5,2.03,1.62,2.3
04/11/2023,Team H,Team I,2,2,D,1.53,9.5,2.73,1.56,2.43
04/11/2023,Team G,Team T,2,4,A,1.57,9.5,2.66,2.05,1.77
04/11/2023,Team E,Team D,0,1,A,1.76,9.5,2.22,1.73,2.1
04/11/2023,Team I,Team D,3,2,H,1.81,9.5,2.17,1.9,1.9
04/11/2023,Team B,Team A,2,1,H,1.38,9.5,3.51,2.08,1.75
04/11/2023,Team I,Team O,1,2,A,1.45,9.5,3.06,1.78,2.04
04/11/2023,Team K,Team G,2,1,H,1.93,9.5,2.02,1.92,1.88
04/11/2023,Team G,Team F,3,6,A,1.93,9.5,1.98,1.41,2.89
04/11/2023,Team O,Team L,2,2,D,1.85,9.5,2.12,1.96,1.84
04/11/2023,Team G,Team L,1,0,H,1.45,9.5,3.05,1.89,1.91
11/11/2023,Team I,Team A,0,1,A,1.88,9.5,2.09,2.21,1.66
11/11/2023,Team F,Team R,2,3,A,1.61,9.5,2.56,2.15,1.7
11/11/2023,Team D,Team C,1,1,D,2.21,9.5,1.79,2.22,1.66
11/11/2023,Team J,Team M,0,1,A,2.21,9.5,1.76,1.62,2.29
11/11/2023,Team A,Team H,2,1,H,1.47,9.5,2.92,1.43,2.82
11/11/2023,Team S,Team O,3,6,A,2.31,9.5,1.71,1.83,1.98
11/11/2023,Team S,Team P,0,3,A,2.36,9.5,1.69,1.77,2.05
11/11/2023,Team B,Team S,2,2,D,1.78,9.5,2.17,1.43,2.84
11/11/2023,Team P,Team G,1,0,H,1.57,9.5,2.64,1.89,1.91
11/11/2023,Team J,Team L,1,0,H,1.64,9.5,2.43,1.52,2.53
18/11/2023,Team L,Team A,2,2,D,2.58,9.5,1.59,1.77,2.06
18/11/2023,Team K,Team C,3,0,H,1.43,9.5,3.25,2.67,1.48
18/11/2023,Team L,Team O,1,0,H,2.06,9.5,1.89,2.05,1.77
18/11/2023,Team R,Team I,3,0,H,1.55,9.5,2.71,1.89,1.91
18/11/2023,Team E,Team G,1,1,D,1.72,9.5,2.33,2.26,1.64
18/11/2023,Team F,Team J,1,0,H,2.03,9.5,1.88,1.41,2.92
18/11/2023,Team J,Team G,5,3,H,1.57,9.5,2.61,1.46,2.72
18/11/2023,Team A,Team L,1,1,D,1.54,9.5,2.76,2.03,1.78
18/11/2023,Team O,Team T,3,0,H,1.84,9.5,2.15,2.33,1.6
18/11/2023,Team R,Team K,0,0,D,1.62,9.5,2.53,2.18,1.68
25/11/2023,Team G,Team K,0,2,A,1.66,9.5,2.45,2.16,1.7
25/11/2023,Team D,Team N,4,0,H,1.8,9.5,2.14,1.47,2.67
25/11/2023,Team E,Team R,1,0,H,1.66,9.5,2.37,1.44,2.8
25/11/2023,Team L,Team C,2,0,H,1.47,9.5,3.03,2.29,1.62
25/11/2023,Team F,Team B,2,0,H,1.54,9.5,2.77,2.28,1.63
25/11/2023,Team J,Team F,2,1,H,2.01,9.5,1.94,2.14,1.71
25/11/2023,Team E,Team O,2,1,H,1.94,9.5,1.99,1.62,2.3
25/11/2023,Team I,Team B,0,0,D,1.69,9.5,2.34,1.7,2.16
25/11/2023,Team P,Team S,1,2,A,1.64,9.5,2.44,1.65,2.24
25/11/2023,Team H,Team P,2,0,H,1.86,9.5,2.09,1.91,1.89
02/12/2023,Team G,Team J,2,2,D,1.67,9.5,2.35,1.4,2.95
02/12/2023,Team H,Team M,2,0,H,1.42,9.5,3.21,1.7,2.16
02/12/2023,Team B,Team T,1,1,D,1.76,9.5,2.23,1.88,1.92
02/12/2023,Team B,Team F,2,4,A,1.6,9.5,2.53,1.47,2.67
02/12/2023,Team D,Team L,1,1,D,1.58,9.5,2.73,3.56,1.3
02/12/2023,Team O,Team F,1,1,D,1.77,9.5,2.21,1.72,2.12
02/12/2023,Team F,Team C,4,2,H,1.49,9.5,2.92,1.98,1.82
02/12/2023,Team P,Team C,2,2,D,2.03,9.5,1.92,1.96,1.84
02/12/2023,Team H,Team L,2,2,D,1.78,9.5,2.2,1.73,2.11
02/12/2023,Team D,Team M,2,3,A,1.91,9.5,2.04,2.02,1.8
09/12/2023,Team R,Team S,1,2,A,2.33,9.5,1.69,1.59,2.36
09/12/2023,Team E,Team L,2,1,H,1.51,9.5,2.84,1.86,1.94
09/12/2023,Team L,Team J,1,2,A,1.7,9.5,2.39,2.37,1.59
09/12/2023,Team H,Team O,2,4,A,1.82,9.5,2.14,1.74,2.09
09/12/2023,Team G,Team M,0,1,A,1.54,9.5,2.67,1.47,2.67
09/12/2023,Team J,Team K,0,1,A,1.85,9.5,2.14,2.29,1.62
09/12/2023,Team K,Team N,0,0,D,2.06,9.5,1.92,2.59,1.5
09/12/2023,Team K,Team I,1,2,A,1.83,9.5,2.13,1.84,1.97
09/12/2023,Team J,Team B,1,0,H,1.78,9.5,2.19,1.57,2.41
09/12/2023,Team P,Team Q,1,1,D,1.94,9.5,1.98,1.55,2.46
16/12/2023,Team O,Team C,1,2,A,1.59,9.5,2.55,1.47,2.68
16/12/2023,Team O,Team M,2,0,H,1.67,9.5,2.36,1.53,2.51
16/12/2023,Team K,Team F,1,2,A,2.04,9.5,1.91,1.98,1.83
16/12/2023,Team P,Team L,2,1,H,1.61,9.5,2.52,1.62,2.3
16/12/2023,Team G,Team Q,2,1,H,1.59,9.5,2.55,1.58,2.38
16/12/2023,Team P,Team B,0,0,D,1.6,9.5,2.61,2.48,1.54
16/12/2023,Team K,Team D,1,0,H,1.58,9.5,2.62,1.94,1.86
16/12/2023,Team Q,Team R,2,1,H,2.21,9.5,1.77,1.68,2.19
16/12/2023,Team O,Team I,1,2,A,1.81,9.5,2.12,1.38,3.06
16/12/2023,Team J,Team N,0,1,A,1.57,9.5,2.67,2.11,1.73
23/12/2023,Team G,Team D,1,2,A,1.82,9.5,2.16,2.11,1.73
23/12/2023,Team R,Team G,1,1,D,1.54,9.5,2.76,2.03,1.79
23/12/2023,Team N,Team G,2,1,H,1.8,9.5,2.16,1.73,2.1
23/12/2023,Team J,Team I,0,0,D,1.78,9.5,2.22,2.13,1.72
23/12/2023,Team F,Team S,2,1,H,1.43,9.5,3.09,1.46,2.72
23/12/2023,Team R,Team A,1,3,A,1.86,9.5,2.13,2.45,1.55
23/12/2023,Team J,Team P,4,0,H,2.02,9.5,1.91,1.7,2.15
23/12/2023,Team N,Team I,4,1,H,2.09,9.5,1.83,1.37,3.07
23/12/2023,Team A,Team M,2,1,H,1.79,9.5,2.22,2.19,1.68
23/12/2023,Team C,Team A,1,1,D,1.75,9.5,2.24,1.63,2.28
30/12/2023,Team K,Team J,0,2,A,1.55,9.5,2.7,1.83,1.98
30/12/2023,Team I,Team C,4,1,H,1.37,9.5,3.77,3.69,1.28
30/12/2023,Team H,Team D,1,1,D,1.94,9.5,2.03,2.31,1.62
30/12/2023,Team M,Team F,1,1,D,1.89,9.5,2.08,2.22,1.66
30/12/2023,Team K,Team H,2,1,H,1.67,9.5,2.38,1.64,2.26
30/12/2023,Team S,Team T,0,0,D,1.28,9.5,4.72,3.71,1.28
30/12/2023,Team O,Team G,3,0,H,1.56,9.5,2.73,2.52,1.52
30/12/2023,Team T,Team E,2,1,H,1.37,9.5,3.56,2.04,1.78
30/12/2023,Team S,Team H,1,3,A,1.76,9.5,2.26,2.17,1.69
30/12/2023,Team I,Team N,1,0,H,1.89,9.5,2.06,1.92,1.88
06/01/2024,Team P,Team F,2,4,A,1.7,9.5,2.36,2.03,1.79
06/01/2024,Team G,Team H,1,1,D,1.46,9.5,3.22,3.54,1.3
06/01/2024,Team B,Team I,4,2,H,1.76,9.5,2.24,1.79,2.02
06/01/2024,Team L,Team K,2,2,D,1.64,9.5,2.43,1.5,2.59
06/01/2024,Team L,Team Q,4,3,H,2.07,9.5,1.87,1.58,2.38
06/01/2024,Team G,Team B,1,0,H,1.68,9.5,2.35,1.5,2.6
06/01/2024,Team K,Team P,1,1,D,1.74,9.5,2.33,2.93,1.41
06/01/2024,Team A,Team D,0,0,D,1.81,9.5,2.16,1.93,1.87
06/01/2024,Team T,Team L,1,0,H,2.01,9.5,1.91,1.51,2.56
06/01/2024,Team R,Team M,1,0,H,1.85,9.5,2.08,1.49,2.61
13/01/2024,Team N,Team B,2,0,H,1.68,9.5,2.35,1.54,2.48
13/01/2024,Team F,Team N,1,3,A,2.33,9.5,1.69,1.48,2.65
13/01/2024,Team S,Team N,0,1,A,1.42,9.5,3.16,1.66,2.22
13/01/2024,Team E,Team I,2,3,A,1.56,9.5,2.66,1.79,2.03
13/01/2024,Team B,Team L,2,0,H,1.99,9.5,1.95,1.91,1.89
13/01/2024,Team Q,Team B,1,1,D,1.48,9.5,2.92,1.73,2.1
13/01/2024,Team G,Team O,1,1,D,1.75,9.5,2.26,1.95,1.85
13/01/2024,Team R,Team D,2,4,A,1.62,9.5,2.46,1.33,3.35
13/01/2024,Team P,Team N,2,2,D,1.71,9.5,2.32,1.93,1.87
13/01/2024,Team D,Team S,1,2,A,1.5,9.5,2.84,1.67,2.2
20/01/2024,Team D,Team J,2,1,H,1.56,9.5,2.66,1.68,2.19
20/01/2024,Team J,Team Q,0,1,A,1.69,9.5,2.41,2.63,1.49
20/01/2024,Team E,Team K,1,0,H,1.81,9.5,2.13,1.48,2.64
20/01/2024,Team O,Team Q,3,1,H,2.05,9.5,1.88,1.52,2.53
20/01/2024,Team T,Team R,1,1,D,1.96,9.5,1.98,1.81,2.0
20/01/2024,Team C,Team H,0,0,D,1.71,9.5,2.41,3.14,1.36
20/01/2024,Team O,Team J,2,0,H,1.53,9.5,2.74,1.68,2.19
20/01/2024,Team J,Team O,5,0,H,1.63,9.5,2.44,1.46,2.71
20/01/2024,Team H,Team A,0,0,D,1.44,9.5,3.26,3.13,1.36
20/01/2024,Team M,Team J,4,0,H,1.66,9.5,2.45,2.07,1.76
27/01/2024,Team H,Team S,1,1,D,1.56,9.5,2.63,1.57,2.42
27/01/2024,Team T,Team A,1,0,H,2.02,9.5,2.01,3.96,1.25
27/01/2024,Team P,Team R,0,2,A,1.24,9.5,5.56,4.96,1.18
27/01/2024,Team H,Team K,0,2,A,1.78,9.5,2.19,1.62,2.29
27/01/2024,Team I,Team T,2,0,H,1.67,9.5,2.45,2.45,1.55
27/01/2024,Team B,Team R,1,1,D,1.41,9.5,3.27,2.01,1.8
27/01/2024,Team A,Team N,2,1,H,1.7,9.5,2.34,1.79,2.02
27/01/2024,Team I,Team H,1,1,D,1.5,9.5,2.92,2.22,1.66
27/01/2024,Team D,Team O,2,1,H,1.48,9.5,2.96,1.85,1.96
27/01/2024,Team B,Team K,0,0,D,2.38,9.5,1.69,2.01,1.8
03/02/2024,Team M,Team N,0,2,A,1.36,9.5,3.55,1.65,2.24
03/02/2024,Team J,Team H,2,2,D,1.73,9.5,2.28,1.73,2.1
03/02/2024,Team P,Team D,3,1,H,1.66,9.5,2.42,1.94,1.86
03/02/2024,Team O,Team S,3,2,H,1.81,9.5,2.15,1.78,2.04
03/02/2024,Team C,Team O,0,2,A,1.69,9.5,2.38,2.11,1.73
03/02/2024,Team M,Team A,1,1,D,1.73,9.5,2.32,2.3,1.62
03/02/2024,Team F,Team A,2,2,D,1.44,9.5,3.18,2.35,1.6
03/02/2024,Team G,Team S,2,2,D,1.59,9.5,2.56,1.69,2.18
03/02/2024,Team L,Team N,3,0,H,1.87,9.5,2.07,1.84,1.97
03/02/2024,Team S,Team L,0,2,A,1.86,9.5,2.08,1.66,2.22
10/02/2024,Team N,Team J,4,3,H,1.68,9.5,2.37,1.71,2.14
10/02/2024,Team L,Team S,1,2,A,1.74,9.5,2.25,1.75,2.08
10/02/2024,Team F,Team G,2,1,H,1.79,9.5,2.21,2.07,1.76
10/02/2024,Team R,Team Q,2,1,H,1.47,9.5,3.27,4.93,1.18
10/02/2024,Team A,Team F,0,0,D,1.75,9.5,2.3,2.52,1.52
10/02/2024,Team C,Team E,2,1,H,1.31,9.5,4.18,2.94,1.4
10/02/2024,Team N,Team H,2,0,H,1.53,9.5,2.78,2.0,1.81
10/02/2024,Team K,Team R,3,2,H,1.49,9.5,2.88,1.59,2.35
10/02/2024,Team T,Team F,0,0,D,1.68,9.5,2.39,2.06,1.76
10/02/2024,Team Q,Team K,1,2,A,1.89,9.5,2.06,1.84,1.96
17/02/2024,Team K,Team L,0,1,A,1.35,9.5,3.79,2.91,1.41
17/02/2024,Team O,Team B,0,0,D,1.34,9.5,3.91,3.19,1.35
17/02/2024,Team B,Team O,0,0,D,1.49,9.5,2.83,1.43,2.83
17/02/2024,Team C,Team K,1,3,A,1.9,9.5,2.06,2.18,1.68
17/02/2024,Team D,Team F,3,2,H,1.88,9.5,2.05,1.5,2.59
17/02/2024,Team F,Team D,0,2,A,1.92,9.5,2.01,1.6,2.33
17/02/2024,Team J,Team A,2,2,D,1.86,9.5,2.06,1.4,2.96
17/02/2024,Team L,Team E,1,0,H,2.07,9.5,1.92,2.83,1.43
17/02/2024,Team R,Team B,1,2,A,1.97,9.5,1.97,1.81,2.0
17/02/2024,Team L,Team G,3,1,H,1.67,9.5,2.37,1.56,2.42
24/02/2024,Team Q,Team T,1,0,H,1.38,9.5,3.68,3.57,1.29
24/02/2024,Team D,Team G,1,5,A,2.25,9.5,1.75,1.79,2.02
24/02/2024,Team H,Team F,0,2,A,1.75,9.5,2.25,1.89,1.91
24/02/2024,Team H,Team C,0,1,A,1.96,9.5,2.0,2.22,1.66
24/02/2024,Team I,Team L,1,2,A,1.82,9.5,2.15,1.97,1.83
24/02/2024,Team Q,Team A,0,0,D,1.55,9.5,2.71,2.04,1.78
24/02/2024,Team M,Team C,3,0,H,1.59,9.5,2.57,1.63,2.28
24/02/2024,Team B,Team J,3,1,H,1.62,9.5,2.55,2.23,1.65
24/02/2024,Team R,Team O,0,0,D,1.44,9.5,3.18,2.37,1.59
24/02/2024,Team N,Team O,2,1,H,1.53,9.5,2.93,3.79,1.27
02/03/2024,Team O,Team N,2,3,A,2.07,9.5,1.87,1.59,2.37
02/03/2024,Team L,Team H,0,0,D,1.66,9.5,2.43,2.01,1.8
02/03/2024,Team R,Team P,2,0,H,1.79,9.5,2.2,2.02,1.79
02/03/2024,Team S,Team F,1,3,A,1.85,9.5,2.08,1.41,2.92
02/03/2024,Team C,Team D,1,1,D,1.77,9.5,2.19,1.39,2.98
02/03/2024,Team A,Team P,2,1,H,2.47,9.5,1.65,2.08,1.75
02/03/2024,Team D,Team I,5,0,H,1.49,9.5,2.9,1.79,2.02
02/03/2024,Team A,Team J,3,2,H,2.4,9.5,1.69,2.3,1.62
02/03/2024,Team G,Team P,0,0,D,1.4,9.5,3.27,1.46,2.73
02/03/2024,Team I,Team E,2,0,H,1.87,9.5,2.1,2.35,1.6
09/03/2024,Team N,Team E,1,2,A,1.83,9.5,2.14,1.9,1.9
09/03/2024,Team P,Team T,2,0,H,1.75,9.5,2.23,1.62,2.31
09/03/2024,Team S,Team E,2,3,A,1.51,9.5,2.83,1.9,1.9
09/03/2024,Team T,Team J,3,0,H,1.66,9.5,2.42,1.79,2.03
09/03/2024,Team S,Team D,4,1,H,1.27,9.5,4.27,1.62,2.3
09/03/2024,Team R,Team E,1,0,H,1.65,9.5,2.55,3.55,1.3
09/03/2024,Team L,Team D,1,1,D,1.97,9.5,1.98,2.14,1.71
09/03/2024,Team K,Team S,2,0,H,1.65,9.5,2.46,2.07,1.75
09/03/2024,Team M,Team I,3,1,H,1.83,9.5,2.08,1.27,3.73
09/03/2024,Team P,Team K,1,1,D,1.88,9.5,2.03,1.36,3.17
16/03/2024,Team Q,Team F,1,2,A,1.68,9.5,2.39,1.88,1.92
16/03/2024,Team C,Team Q,1,0,H,1.58,9.5,2.6,1.72,2.12
16/03/2024,Team F,Team L,0,0,D,1.86,9.5,2.15,2.97,1.4
16/03/2024,Team N,Team M,2,0,H,1.57,9.5,2.68,2.14,1.71
16/03/2024,Team K,Team A,0,0,D,1.63,9.5,2.62,3.84,1.26
16/03/2024,Team O,Team D,2,2,D,1.96,9.5,1.96,1.66,2.22
16/03/2024,Team C,Team G,1,3,A,1.68,9.5,2.36,1.56,2.42
16/03/2024,Team I,Team K,1,1,D,1.94,9.5,2.01,1.98,1.82
16/03/2024,Team K,Team M,0,2,A,1.66,9.5,2.4,1.68,2.19
16/03/2024,Team L,Team I,4,1,H,1.73,9.5,2.25,1.55,2.46
23/03/2024,Team M,Team O,5,0,H,1.51,9.5,2.85,1.96,1.84
23/03/2024,Team N,Team S,2,0,H,2.1,9.5,1.84,1.49,2.61
23/03/2024,Team C,Team P,3,1,H,1.54,9.5,2.72,1.81,2.0
23/03/2024,Team E,Team Q,1,0,H,1.47,9.5,2.98,1.89,1.91
23/03/2024,Team N,Team R,1,0,H,1.83,9.5,2.15,2.06,1.76
23/03/2024,Team K,Team Q,1,0,H,2.03,9.5,1.91,1.84,1.97
23/03/2024,Team E,Team F,3,1,H,2.11,9.5,1.85,1.97,1.84
23/03/2024,Team C,Team M,2,0,H,1.9,9.5,2.03,1.64,2.25
23/03/2024,Team A,Team C,2,0,H,1.71,9.5,2.32,1.85,1.95
23/03/2024,Team B,Team Q,1,0,H,1.83,9.5,2.14,1.98,1.82
30/03/2024,Team T,Team M,2,0,H,1.53,9.5,2.81,2.19,1.68
30/03/2024,Team Q,Team C,3,2,H,1.67,9.5,2.41,1.96,1.85
30/03/2024,Team H,Team B,1,1,D,1.56,9.5,2.71,2.3,1.62
30/03/2024,Team T,Team D,1,0,H,1.79,9.5,2.19,1.89,1.91
30/03/2024,Team R,Team F,1,1,D,2.02,9.5,1.93,1.95,1.85
30/03/2024,Team E,Team N,3,0,H,1.77,9.5,2.24,2.08,1.75
30/03/2024,Team O,Team H,1,2,A,2.19,9.5,1.77,1.52,2.53
